param_count_b,architecture_type,precision,model_size_gb,input_tokens,output_tokens,context_length_used,batch_size,kv_cache_gb,device_type,compute_tflops,memory_bandwidth_gbs,vram_or_ram_gb,hw_class,framework,roofline_prefill_ms_per_token,roofline_decode_ms_per_token,available_ram_gb,ram_pressure_ratio,decode_ms_per_token,prefill_ms_per_token,sample_weight,source
1.0,dense,fp32,4.0,128,256,4096,1,0.0671744,apple,7.69889628523367,170.2821437884462,32.0,apple_pro,llama.cpp,0.5772833247499126,34.12130604883407,9.872223685309239,2.4680559213273097,40.11876317660167,0.9116372271359577,1.0,synthetic
1.0,dense,Q4_0,0.59,128,256,512,1,0.0083968,apple,13.451975341512911,346.9700334601839,64.0,apple_max,mlx,0.297354098446491,2.299513857272512,2.4332884626990006,4.124217733388137,2.4656563930027477,0.4026542546230097,1.0,synthetic
1.0,dense,int8,1.0,128,256,2048,1,0.0335872,cpu,0.3424701393154963,51.34378300418692,16.0,cpu_older,mlx,14.599813023096338,30.970334883903735,2.5454749016213016,2.5454749016213016,27.540598101303765,17.18052947024173,1.0,synthetic
2.0,dense,Q4_0,1.18,128,256,8192,1,0.2686976,gpu,633.5149470692211,2353.1816822196533,80.0,datacenter,llama.cpp,0.012627957772756195,0.8208447374016652,3.390951156301068,2.8736874205941256,0.4271762640362336,0.01679404117407275,1.0,synthetic
0.5,dense,bf16,1.0,128,256,8192,1,0.0671744,gpu,25.838896710417846,312.14685536846434,8.0,consumer_mid,transformers,0.09675335708091741,5.259725481753605,3.3682099526511076,3.3682099526511076,4.19155931698073,0.06333726873089258,1.0,synthetic
3.8,dense,fp16,7.6,128,256,512,1,0.03190783999999999,gpu,9.769975095761135,181.9804269295016,6.0,consumer_low,vllm,2.592978291656508,76.25103593202829,16.259069410015947,2.139351238159993,144.59012407395534,2.918521175314959,1.0,synthetic
30.0,dense,Q8_0,31.8,128,256,512,1,0.25190399999999996,gpu,46.45185550066942,450.57861855309375,12.0,consumer_high,vllm,3.0038602810800397,104.61027443454314,128.87583072925975,4.05269907953647,90.02452203549605,2.7521711160175637,1.0,synthetic
1.0,moe,Q4_0,0.59,128,256,4096,1,0.0671744,gpu,63.832973627922215,620.6280293174035,24.0,consumer_flagship,mlx,0.0696261538801371,1.5126944434996459,2.789497111679444,4.727961206236346,1.3237654104613132,0.0695107844307834,1.0,synthetic
30.0,dense,int8,30.0,128,256,512,1,0.25190399999999996,gpu,41.74352975160023,524.3783426530972,12.0,consumer_high,ollama,3.342670937298521,84.83968634661592,109.20392514089517,3.640130838029839,89.38736413713269,1.856827027958252,1.0,synthetic
3.0,dense,fp16,6.0,128,256,2048,1,0.10076159999999999,apple,24.44732108975677,912.700310663494,128.0,apple_ultra,ollama,0.4462284791466059,8.355373511877366,28.593736230416106,4.765622705069351,8.824786812055113,0.5813537395452629,1.0,synthetic
70.0,dense,Q6_K,57.4,128,256,2048,1,2.351104,gpu,131.48216259233638,817.9153728531692,40.0,datacenter_low,transformers,3.0422377614841163,121.75486198033681,181.7302292845288,3.166031869068446,118.28507783557716,2.779475502396432,1.0,synthetic
3.0,dense,fp16,6.0,128,256,16384,1,0.8060927999999999,apple,7.45123767625735,164.7931879118368,32.0,apple_pro,llama.cpp,1.7894118953980915,59.00116283621775,21.768529496848473,3.6280882494747453,42.13537412823956,1.3739772497670903,1.0,synthetic
1.5,moe,Q4_K_M,0.9450000000000001,128,256,8192,1,0.20152319999999999,gpu,8.030495407431859,218.13181884524235,6.0,consumer_low,transformers,1.245253187087991,9.556550013652917,1.905655202045413,2.016566351370807,8.068731514589055,1.4960701333221174,1.0,synthetic
13.0,dense,int8,13.0,128,256,4096,1,0.8732671999999999,apple,8.7571074282916,159.30858047314274,32.0,apple_pro,ollama,6.597815346094194,124.40606202123777,28.887741417629524,2.222133955202271,155.57594298400073,8.274991757937215,1.0,synthetic
3.8,dense,Q5_K_M,2.774,128,256,4096,1,0.25526271999999994,cpu,0.3830158874253127,39.81423230358925,16.0,cpu_older,ollama,49.606297346359966,117.05372463492785,8.301733362823747,2.9926940745579476,127.16034792636341,66.47203457037205,1.0,synthetic
3.8,moe,int8,3.8,128,256,8192,1,0.5105254399999999,apple,2.607202515257421,64.14403936299951,16.0,apple_base,vllm,7.287504476085563,103.38571854620872,14.868155173449429,3.9126724140656393,138.85023694062306,5.566123126570436,1.0,synthetic
8.0,dense,bf16,16.0,128,256,4096,1,0.5373952,apple,8.929310582183183,148.74967163228771,32.0,apple_pro,llama.cpp,3.9818925804305887,158.82287353289362,68.51768233361108,4.282355145850692,173.8509954902045,3.281239681315675,1.0,synthetic
13.0,moe,Q8_0,13.780000000000001,128,256,16384,1,3.4930687999999996,gpu,712.8682114895942,2703.2253849659205,80.0,datacenter,vllm,0.07294475916010044,8.519732956077707,45.23454569894245,3.282623055075649,19.795587524620167,0.05534493737696575,1.0,synthetic
3.8,dense,int8,3.8,128,256,2048,1,0.12763135999999997,gpu,55.745672971509855,617.6571996685939,24.0,consumer_flagship,mlx,0.3029632254600345,9.084168282775124,11.183658184270124,2.94306794322898,9.284022540683262,0.27697000770314073,1.0,synthetic
0.5,dense,fp16,1.0,128,256,2048,1,0.0167936,apple,27.069422598434095,897.8159537422623,128.0,apple_ultra,llama.cpp,0.06716736611467272,1.4156487136392164,4.266653415629146,4.266653415629146,1.238602548998543,0.04289140023163893,1.0,synthetic
